E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.023124008161414644,0.01,0.002958333333333333,1.0,0.015762863091107367,0.0,0.0,1.0,0.13215859030837004,0.0,0.0,1.0,0.013685636856368564,S_geminata,0,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01644277270284793,0.01,0.003083333333333333,1.0,0.012073490813648294,0.0,0.0,1.0,0.1219059405940594,0.0,0.0,1.0,0.014212620807276862,S_geminata,1,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01585999453103637,0.0,0.0012499999999999998,1.0,0.01201641266119578,0.0,0.0,1.0,0.1559696342305038,0.0,0.0,1.0,0.011864992512383366,P_longicornis,2,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01509433962264151,0.01,0.0014583333333333334,1.0,0.015899664230693264,0.0,0.0,1.0,0.08604302151075538,0.0,0.0,1.0,0.023225298517254953,S_geminata,3,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01385891173463592,0.0,0.00025,1.0,0.012719298245614035,0.0,0.0,1.0,0.1239946380697051,0.0,0.0,1.0,0.018904612725505022,P_longicornis,4,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.025075902395142246,0.0,0.0020694444444444445,1.0,0.014440773949976404,0.0,0.0,1.0,0.13066509711595056,0.0,0.0,1.0,0.02430365920262152,P_longicornis,5,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013262874313542639,0.02,0.010250751359207241,1.0,0.018817754141951318,0.0,0.0,1.0,0.10736342042755344,0.0,0.0,1.0,0.013789299503585218,S_geminata,6,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01626442812172088,0.02,0.0030555555555555557,1.0,0.015810707665467234,0.0,0.0,1.0,0.08098933074684772,0.0,0.0,1.0,0.012601372426699937,S_geminata,7,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01694277108433735,0.01,0.0011805555555555558,1.0,0.023834899719019476,0.0,0.0,1.0,0.10276679841897234,0.0,0.0,1.0,0.023501762632197415,S_geminata,8,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.019356759976176294,0.01,0.0015138888888888886,1.0,0.025289672544080606,0.0,0.0,1.0,0.09384460141271443,0.0,0.0,1.0,0.01876675603217158,S_geminata,9,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013879003558718862,0.0,0.0,1.0,0.020698051948051948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01416369337225646,P_longicornis,10,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.018960982025427443,0.0,0.00075,1.0,0.020299039508862263,0.0,0.0,1.0,0.2099099099099099,0.0,0.0,1.0,0.018172724241413803,P_longicornis,11,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02108644044127915,0.0,0.0016388888888888887,1.0,0.022970452537547856,0.0,0.0,1.0,0.11067503924646782,0.0,0.0,1.0,0.01291231365183707,P_longicornis,12,"Mac Arthur Hiway, Val."
