id	2000-02	2000-03	2000-04	2000-05	2000-06	2000-07	2000-09	2000-10	2000-11	2000-12	2001-01	2001-02	2001-03	2001-04	2001-05	2001-06	2001-07	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07	2015-08	2015-09	2015-10	2015-11	2015-12	2016-01	2016-02	2016-03	2016-04	2016-05	2016-06	2016-07	2016-10	2016-11	2016-12	2017-01	2017-02	2017-03	2017-04	2017-05	2017-06	2017-08	2017-09	2017-10	2017-11	2017-12	2018-01	2018-02	2018-03	2018-04	2018-05	2018-09	2018-10	2018-11	2018-12	2019-01	2019-02	2019-03	2019-04	2019-05	2019-06	2019-07	2019-09	2019-10	2019-11	2019-12	2020-01	2020-02	2020-03	2020-04	2020-05	2020-06	2020-07	2020-08	2020-09	2020-10	2020-11	2020-12	2021-01	2021-02	2021-03	2021-04	2021-05	2021-06	2021-07	2021-08	2021-09	2021-10	2021-11	2021-12	2022-01	2022-02	2022-03	2022-04	2022-05	2022-06	2022-07	2022-08	2022-09	2022-10	2022-11	2022-12	2023-01	2023-02	2023-03	2023-04	2023-05	2023-07	2023-08	2023-09	2023-10	2023-11	2023-12
2164226																																																																		31.77																																																																																																																																																																																																					
2165756																								40.39																																										31.77																																													33.67																																																																																																																									43.31																															
2165757																																																																		31.77																																																																																																																																																																																																					
2165761																																																																																																																																																																																		40.75									29.23																														36.65																																														
2165762																																																																																																																																																																																		40.75																																																																																					
2165768																																																																																																																																																																																																															35.65																																																								
2165775																																																								30.25																																																																																																	35.73												40.29													39.33																																																																																					
2165776																																																								30.25																																																																																																	35.73																																																																																																														
2165778																																																47.73								34.89																																											34.53												36.85																42.31			53.33										36.15			38.37	46.95								34.75	32.03		39.61		47.55								36.63		41.37	49.89					41.11						43.27																																																																																				
2167286																								40.39																																										31.77																																													33.67																																																																																																																									43.31																															
2167287																																																																		31.77																																																																																																																																														37.51	45.67																																																						
2167289																45.87				36.35			42.73																																											35.79			42.95										42.79																															37.27			46.31																																																																										29.81											38.37											46.95																									49.65									44.33																				
2167290																																																																																																																																																																																											30.93											41.55											49.79																																																						
2167291																																																																																																																																																																																		40.75									29.23																														36.65																																														
2167292																																																																																																																																																																																		42.07																																																																																					
2167294																																																																																																																																																																																											25.07											44.75										42.07									40.53																																														
2167296																																																																																																																																																																																																																37.93																																																							
2167297																																																																																																																																																																																																															35.65																																																								
2167298																																																																																																																																																																																																															35.65																																																								
2167299																																																																																																																																																																																																						40.51																																																																	
2167301																51.07																														51.33																																																																	36.23																																																						42.97																																																																																																		
2167302																																																																																																													34.83		36.9			40.83																			39.93																																37.57											41.41																																																																																							
2167303																																																																																																													34.83		36.9			40.83																			39.93																																37.57											41.41																																																																																							
2167304												45.21				47.61						41.59																					39.51																																			36.85													37.71																				38.66													47.55																			38.85		43.13							36.45	34.52		42.33		43.03								40.29	43.33		53.79										39.33					41.85					36.97									41.45	37.47																			37.39									50.55															38.21														37.41								
2167305																																																								30.25																																																																																																	35.73												40.29													39.33																																																																																					
2167306														44.91								34.47	40.33									36.89	32.3								39.09														33.99	33.49	37.06	41.15						44.05										40.19					39.09																						40.87	39.45									36.85	36.85	35.45	40.15			43.63													53.33			37.23							36.15		32.49	35.75	46.95	50.57							34.75	33.96	34.55	40.86				48.77	42.45					35.29			49.89				44.89							43.27								40.25							39.67											38.93		36.91	41.67								36.63	37.36		39.31												43.33																																
2167307																																																47.73								34.89																																											34.53												36.85																42.31			53.33										36.15			38.37	46.95								34.75	32.03		39.61		47.55								36.63		41.37	49.89					41.11						43.27																																																																																				
